,외국인 보유금액 (단위:조원),,외환보유액(단위:억달러),,,FTSE지수(종가기준),,,MSCI지수(종가기준),,,,,,,,,,,,,,,
201805월,623.9,201405월,"3,609",,201711월,350.44,,202112월,911.53,,202009월,-,-,-,-,-,-,37,45,44,50,49,65,66
201806월,596.9,201406월,"3,666",,201712월,351.44,,202201월,829.88,,202010월,-,-,-,-,-,-,29,43,40,44,45,64,65
201807월,592.7,201407월,"3,680",,201801월,363.58,,202202월,832.19,,202011월,-,-,-,-,-,-,19,37,33,37,37,61,61
201808월,599.8,201408월,"3,675",,201802월,343.72,,202203월,836.81,,202012월,-,-,-,-,-,-,14,33,30,32,33,59,58
201809월,597,201409월,"3,644",,201803월,345.85,,202204월,812.29,,202101월,-,-,-,-,-,-,-,39,64,27,27,53,54
201810월,524.6,201410월,"3,637",,201804월,356.01,,202205월,814.54,,202102월,-,-,-,-,-,-,-,35,50,24,23,52,53
201811월,532.9,201411월,"3,631",,201805월,340.02,,202206월,706.72,,202103월,-,-,-,-,-,-,-,39,48,21,23,51,52
201812월,509.7,201412월,"3,636",,201806월,327.38,,202207월,748.12,,202104월,-,-,-,-,-,-,-,30,49,22,24,51,51
201901월,567.2,201501월,"3,622",,201807월,324.28,,202208월,744.58,,202105월,-,-,-,-,-,-,-,40,45,21,24,51,52
201902월,563.7,201502월,"3,624",,201808월,327.96,,202209월,649.07,,202106월,-,-,-,-,-,-,-,37,41,18,19,47,48
201903월,554.6,201503월,"3,628",,201809월,327.63,,202210월,700.21,,202107월,-,-,-,-,-,-,-,33,39,18,20,46,47
201904월,575.9,201504월,"3,699",,201810월,288.51,,202211월,708.21,,202108월,-,-,-,-,-,-,-,34,38,16,18,46,46
201905월,532.4,201505월,"3,715",,201811월,294.1,,,,,202109월,-,-,-,-,-,-,22,33,37,16,18,46,46
201906월,559.8,201506월,"3,747",,201812월,283.45,,,,,202110월,-,-,-,-,-,-,-,30,35,15,17,46,46
201907월,543.3,201507월,"3,708",,201901월,311.89,,,,,202111월,-,-,-,-,-,-,-,31,36,17,17,49,50
201908월,526.5,201508월,"3,679",,201902월,308.88,,,,,202112월,-,-,-,-,-,-,-,29,33,15,17,47,48
201909월,555.8,201509월,"3,681",,201903월,301.22,,,,,202201월,-,-,-,-,-,-,-,32,33,21,24,49,49
201910월,560.6,201510월,"3,696",,201904월,310.94,,,,,202202월,-,-,-,-,-,-,-,34,35,32,27,51,52
201911월,558.4,201511월,"3,685",,201905월,287.61,,,,,202203월,-,-,-,-,-,-,-,32,36,41,32,54,54
201912월,593.2,201512월,"3,680",,201906월,302.26,,,,,202204월,-,-,-,-,-,-,-,31,40,46,35,59,59
202001월,581.5,201601월,"3,676",,201907월,290.28,,,,,202205월,-,-,-,-,-,-,-,33,39,48,38,65,68
202002월,545.1,201602월,"3,658",,201908월,282.46,,,,,202206월,-,-,-,-,-,-,-,33,41,50,39,67,68
202003월,468.7,201603월,"3,698",,201909월,298.38,,,,,202207월,-,-,-,-,-,-,-,35,40,49,42,72,73
202004월,505,201604월,"3,725",,201910월,303.51,,,,,202208월,-,-,-,-,-,-,-,31,43,46,39,74,75
202005월,520.6,201605월,"3,709",,201911월,303.37,,,,,202209월,-,-,-,-,-,-,-,33,43,45,39,77,78
202006월,541.6,201606월,"3,699",,201912월,323.06,,,,,202210월,-,-,-,-,-,-,-,41,51,52,42,81,82
202007월,583.5,201607월,"3,714",,202001월,314.7,,,,,,,,,,,,,,,,,,
202008월,589.2,201608월,"3,755",,202002월,297.21,,,,,,,,,,,,,,,,,,
202009월,598.4,201609월,"3,778",,202003월,262.67,,,,,,,,,,,,,,,,,,
202010월,584.8,201610월,"3,752",,202004월,284.5,,,,,,,,,,,,,,,,,,
202011월,675.2,201611월,"3,720",,202005월,295.73,,,,,,,,,,,,,,,,,,
202012월,764.3,201612월,"3,711",,202006월,309.84,,,,,,,,,,,,,,,,,,
202101월,787.9,201701월,"3,740",,202007월,330.05,,,,,,,,,,,,,,,,,,
202102월,797.5,201702월,"3,739",,202008월,336.67,,,,,,,,,,,,,,,,,,
202103월,805.3,201703월,"3,753",,202009월,340.15,,,,,,,,,,,,,,,,,,
202104월,822.4,201704월,"3,766",,202010월,332.2,,,,,,,,,,,,,,,,,,
202105월,820.2,201705월,"3,785",,202011월,383.13,,,,,,,,,,,,,,,,,,
202106월,842.3,201706월,"3,806",,202012월,435.29,,,,,,,,,,,,,,,,,,
202107월,811,201707월,"3,838",,202101월,454.17,,,,,,,,,,,,,,,,,,
202108월,797.9,201708월,"3,848",,202102월,458.25,,,,,,,,,,,,,,,,,,
202109월,769.2,201709월,"3,847",,202103월,463.06,,,,,,,,,,,,,,,,,,
202110월,742.7,201710월,"3,845",,202104월,469.66,,,,,,,,,,,,,,,,,,
202111월,733.4,201711월,"3,873",,202105월,473.36,,,,,,,,,,,,,,,,,,
202112월,783.2,201712월,"3,893",,202106월,484.82,,,,,,,,,,,,,,,,,,
202201월,721.4,201801월,"3,957",,202107월,467.72,,,,,,,,,,,,,,,,,,
202202월,723.8,201802월,"3,948",,202108월,463.46,,,,,,,,,,,,,,,,,,
202203월,724.2,201803월,"3,968",,202109월,442.84,,,,,,,,,,,,,,,,,,
202204월,695.7,201804월,"3,984",,202110월,427.57,,,,,,,,,,,,,,,,,,
202205월,695.3,201805월,"3,990",,202111월,412.69,,,,,,,,,,,,,,,,,,
202206월,593,201806월,"4,003",,202112월,437.16,,,,,,,,,,,,,,,,,,
202207월,629.9,201807월,"4,025",,202201월,398.2,,,,,,,,,,,,,,,,,,
202208월,629.9,201808월,"4,011",,202202월,400.51,,,,,,,,,,,,,,,,,,
202209월,593,201809월,"4,030",,202203월,402.77,,,,,,,,,,,,,,,,,,
,,201810월,"4,028",,202204월,391.28,,,,,,,,,,,,,,,,,,
,,201811월,"4,030",,202205월,392.18,,,,,,,,,,,,,,,,,,
,,201812월,"4,037",,202206월,340.45,,,,,,,,,,,,,,,,,,
,,201901월,"4,055",,202207월,359.64,,,,,,,,,,,,,,,,,,
,,201902월,"4,047",,202208월,358.5,,,,,,,,,,,,,,,,,,
,,201903월,"4,053",,202209월,312.36,,,,,,,,,,,,,,,,,,
,,201904월,"4,040",,202210월,335.8,,,,,,,,,,,,,,,,,,
,,201905월,"4,020",,202211월,340.2,,,,,,,,,,,,,,,,,,
,,201906월,"4,031",,,,,,,,,,,,,,,,,,,,,
,,201907월,"4,031",,,,,,,,,,,,,,,,,,,,,
,,201908월,"4,015",,,,,,,,,,,,,,,,,,,,,
,,201909월,"4,033",,,,,,,,,,,,,,,,,,,,,
,,201910월,"4,063",,,,,,,,,,,,,,,,,,,,,
,,201911월,"4,075",,,,,,,,,,,,,,,,,,,,,
,,201912월,"4,088",,,,,,,,,,,,,,,,,,,,,
,,202001월,"4,097",,,,,,,,,,,,,,,,,,,,,
,,202002월,"4,092",,,,,,,,,,,,,,,,,,,,,
,,202003월,"4,002",,,,,,,,,,,,,,,,,,,,,
,,202004월,"4,040",,,,,,,,,,,,,,,,,,,,,
,,202005월,"4,073",,,,,,,,,,,,,,,,,,,,,
,,202006월,"4,108",,,,,,,,,,,,,,,,,,,,,
,,202007월,"4,165",,,,,,,,,,,,,,,,,,,,,
,,202008월,"4,190",,,,,,,,,,,,,,,,,,,,,
,,202009월,"4,206",,,,,,,,,,,,,,,,,,,,,
,,202010월,"4,265",,,,,,,,,,,,,,,,,,,,,
,,202011월,"4,364",,,,,,,,,,,,,,,,,,,,,
,,202012월,"4,431",,,,,,,,,,,,,,,,,,,,,
,,202101월,"4,427",,,,,,,,,,,,,,,,,,,,,
,,202102월,"4,476",,,,,,,,,,,,,,,,,,,,,
,,202103월,"4,461",,,,,,,,,,,,,,,,,,,,,
,,202104월,"4,523",,,,,,,,,,,,,,,,,,,,,
,,202105월,"4,565",,,,,,,,,,,,,,,,,,,,,
,,202106월,"4,541",,,,,,,,,,,,,,,,,,,,,
,,202107월,"4,587",,,,,,,,,,,,,,,,,,,,,
,,202108월,"4,639",,,,,,,,,,,,,,,,,,,,,
,,202109월,"4,640",,,,,,,,,,,,,,,,,,,,,
,,202110월,"4,692",,,,,,,,,,,,,,,,,,,,,
,,202111월,"4,639",,,,,,,,,,,,,,,,,,,,,
,,202112월,"4,631",,,,,,,,,,,,,,,,,,,,,
,,202201월,"4,615",,,,,,,,,,,,,,,,,,,,,
,,202202월,"4,618",,,,,,,,,,,,,,,,,,,,,
,,202203월,"4,578",,,,,,,,,,,,,,,,,,,,,
,,202204월,"4,493",,,,,,,,,,,,,,,,,,,,,
,,202205월,"4,477",,,,,,,,,,,,,,,,,,,,,
,,202206월,"4,383",,,,,,,,,,,,,,,,,,,,,
,,202207월,"4,386",,,,,,,,,,,,,,,,,,,,,
,,202208월,"4,364",,,,,,,,,,,,,,,,,,,,,
,,202209월,"4,168",,,,,,,,,,,,,,,,,,,,,
,,202210월,"4,140",,,,,,,,,,,,,,,,,,,,,
