,외국인 보유금액 (단위:조원),,외환보유액(단위:억달러),,,FTSE지수(종가기준),,,MSCI지수(종가기준),,,,,,,,,,,,,,,
200501월,190.4,200101월,954,,200407월,95.06,,200808월,404.03,,200705월,58,-,58,16,66,-,-,-,-,-,-,-,-
200502월,206.4,200102월,953,,200408월,103.86,,200809월,400.17,,200706월,65,-,63,17,69,-,-,-,-,-,-,-,-
200503월,195,200103월,944,,200409월,107.45,,200810월,316.21,,200707월,94,-,95,17,100,-,-,-,-,-,-,-,-
200504월,182.6,200104월,935,,200410월,107.08,,200811월,298.78,,200708월,97,-,87,30,98,-,-,-,-,-,-,-,-
200505월,194,200105월,936,,200411월,111.54,,200812월,306.95,,200709월,93,-,74,29,86,-,-,-,-,-,-,-,-
200506월,200.7,200106월,943,,200412월,113.59,,200901월,320.03,,200710월,93,-,73,29,86,-,-,-,-,-,-,-,-
200507월,223.8,200107월,971,,200501월,117.43,,200902월,291.52,,200711월,131,-,100,43,117,-,-,-,-,-,-,-,-
200508월,218.9,200108월,990,,200502월,127.22,,200903월,332.14,,200712월,130,-,98,45,110,-,-,-,-,-,-,-,-
200509월,244,200109월,"1,001",,200503월,120.84,,200904월,373.93,,200801월,140,-,173,59,126,-,-,-,-,-,-,-,-
200510월,229.2,200110월,"1,005",,200504월,112.99,,200905월,380.59,,200802월,156,-,194,69,131,-,-,-,-,-,-,-,-
200511월,254.5,200111월,"1,017",,200505월,120.01,,200906월,382.45,,200803월,183,-,206,76,122,-,-,-,-,-,-,-,-
200512월,270.2,200112월,"1,028",,200506월,123.44,,200907월,437.1,,200804월,150,-,178,59,108,-,-,-,-,-,-,-,-
200601월,281.7,200201월,"1,043",,200507월,137.45,,200908월,449.7,,200805월,153,-,183,62,113,-,-,-,-,-,-,-,-
200602월,276.9,200202월,"1,051",,200508월,134.56,,200909월,475.42,,200806월,172,-,196,73,133,-,-,-,-,-,-,-,-
200603월,277.2,200203월,"1,061",,200509월,151.19,,200910월,447.08,,200807월,156,-,182,76,112,-,-,-,-,-,-,-,-
200604월,287.5,200204월,"1,077",,200510월,142.12,,200911월,443.18,,200808월,176,-,195,82,137,-,-,-,-,-,-,-,-
200605월,264.6,200205월,"1,096",,200511월,158.61,,200912월,480.78,,200809월,230,-,229,93,235,-,-,-,-,-,-,-,-
200606월,259,200206월,"1,124",,200512월,170.85,,201001월,456.36,,200810월,552,-,591,375,536,-,-,-,-,-,-,-,-
200607월,256.5,200207월,"1,155",,200601월,176.16,,201002월,450.47,,200811월,486,-,509,310,445,-,-,-,-,-,-,-,-
200608월,261.9,200208월,"1,165",,200602월,171.3,,201003월,480.16,,200812월,396,-,411,324,408,-,-,-,-,-,-,-,-
200609월,263.4,200209월,"1,167",,200603월,170.44,,201004월,496.79,,200901월,355,-,370,310,350,-,-,-,-,-,-,-,-
200610월,260.8,200210월,"1,170",,200604월,178.12,,201005월,466.81,,200902월,340,-,350,345,345,-,-,-,-,-,-,-,-
200611월,271,200211월,"1,183",,200605월,165.18,,201006월,478.94,,200903월,363,-,366,410,392,-,-,-,-,-,-,-,-
200612월,272.8,200212월,"1,214",,200606월,162.68,,201007월,498.48,,200904월,303,353,333,391,297,347,-,-,-,-,-,-,-
